Entity,Code,Year,Combined - average years of education for 15-64 years male and female youth and adults
Afghanistan,AFG,1995,2.4
Afghanistan,AFG,2000,3.03
Afghanistan,AFG,2005,3.32
Afghanistan,AFG,2010,3.93
Afghanistan,AFG,2015,4.81
Afghanistan,AFG,2020,5.69
Albania,ALB,1995,8.54
Albania,ALB,2000,9.93
Albania,ALB,2005,10.24
Albania,ALB,2010,10.44
Albania,ALB,2015,9.99
Albania,ALB,2020,10.32
Algeria,DZA,1995,5.76
Algeria,DZA,2000,6.06
Algeria,DZA,2005,6.43
Algeria,DZA,2010,7
Algeria,DZA,2015,7.55
Algeria,DZA,2020,8.18
Argentina,ARG,1995,8.91
Argentina,ARG,2000,9.08
Argentina,ARG,2005,9.57
Argentina,ARG,2010,9.71
Argentina,ARG,2015,9.59
Argentina,ARG,2020,9.86
Armenia,ARM,2015,10.45
Armenia,ARM,2020,10.54
Australia,AUS,1995,11.51
Australia,AUS,2000,11.37
Australia,AUS,2005,11.71
Australia,AUS,2010,11.69
Australia,AUS,2015,12.92
Australia,AUS,2020,12.93
Austria,AUT,1995,8.93
Austria,AUT,2000,9.43
Austria,AUT,2005,9.89
Austria,AUT,2010,10.13
Austria,AUT,2015,10.27
Austria,AUT,2020,10.39
Bahrain,BHR,2015,7.82
Bahrain,BHR,2020,8.21
Bangladesh,BGD,1995,3.72
Bangladesh,BGD,2000,4.77
Bangladesh,BGD,2005,5.51
Bangladesh,BGD,2010,6.22
Bangladesh,BGD,2015,6.76
Bangladesh,BGD,2020,7.23
Barbados,BRB,1995,9.07
Barbados,BRB,2000,9.23
Barbados,BRB,2005,9.41
Barbados,BRB,2010,9.57
Barbados,BRB,2015,9.46
Barbados,BRB,2020,9.67
Belgium,BEL,1995,10.64
Belgium,BEL,2000,10.95
Belgium,BEL,2005,11.11
Belgium,BEL,2010,11.29
Belgium,BEL,2015,11.36
Belgium,BEL,2020,11.57
Belize,BLZ,1995,9.62
Belize,BLZ,2000,10.19
Belize,BLZ,2005,10.77
Belize,BLZ,2010,11.28
Belize,BLZ,2015,10.56
Belize,BLZ,2020,10.71
Benin,BEN,1995,2.73
Benin,BEN,2000,3.31
Benin,BEN,2005,3.85
Benin,BEN,2010,4.57
Benin,BEN,2015,5.42
Benin,BEN,2020,6.27
Bolivia,BOL,1995,8.09
Bolivia,BOL,2000,8.73
Bolivia,BOL,2005,8.77
Bolivia,BOL,2010,8.57
Bolivia,BOL,2015,8.62
Bolivia,BOL,2020,9.06
Botswana,BWA,2015,10.27
Botswana,BWA,2020,10.58
Brazil,BRA,1995,5.79
Brazil,BRA,2000,6.76
Brazil,BRA,2005,7.67
Brazil,BRA,2010,8.17
Brazil,BRA,2015,7.66
Brazil,BRA,2020,8
Brunei,BRN,2015,9.08
Brunei,BRN,2020,9.28
Bulgaria,BGR,1995,9.31
Bulgaria,BGR,2000,9.65
Bulgaria,BGR,2005,10.61
Bulgaria,BGR,2010,11.07
Bulgaria,BGR,2015,10.71
Bulgaria,BGR,2020,10.75
Burundi,BDI,2015,4.3
Burundi,BDI,2020,5.05
Cambodia,KHM,1995,3.41
Cambodia,KHM,2000,3.64
Cambodia,KHM,2005,4.26
Cambodia,KHM,2010,4.94
Cambodia,KHM,2015,5.32
Cambodia,KHM,2020,5.81
Cameroon,CMR,1995,5.3
Cameroon,CMR,2000,5.76
Cameroon,CMR,2005,6.06
Cameroon,CMR,2010,6.41
Cameroon,CMR,2015,7.05
Cameroon,CMR,2020,7.37
Canada,CAN,1995,11.11
Canada,CAN,2000,11.39
Canada,CAN,2005,12.49
Canada,CAN,2010,12.74
Canada,CAN,2015,12.83
Canada,CAN,2020,12.93
Central African Republic,CAF,2015,4.21
Central African Republic,CAF,2020,4.64
Chile,CHL,1995,8.92
Chile,CHL,2000,9.41
Chile,CHL,2005,9.96
Chile,CHL,2010,10.35
Chile,CHL,2015,10.49
Chile,CHL,2020,10.74
China,CHN,1995,7.17
China,CHN,2000,7.79
China,CHN,2005,8.02
China,CHN,2010,8.25
China,CHN,2015,8.51
China,CHN,2020,8.99
Colombia,COL,1995,6.68
Colombia,COL,2000,7.12
Colombia,COL,2005,7.56
Colombia,COL,2010,9.35
Colombia,COL,2015,9.78
Colombia,COL,2020,10.2
Congo,COG,2015,6.47
Congo,COG,2020,6.74
Costa Rica,CRI,1995,7.61
Costa Rica,CRI,2000,7.96
Costa Rica,CRI,2005,8.52
Costa Rica,CRI,2010,8.43
Costa Rica,CRI,2015,8.77
Costa Rica,CRI,2020,9.12
Cote d'Ivoire,CIV,1995,3.46
Cote d'Ivoire,CIV,2000,4.06
Cote d'Ivoire,CIV,2005,4.52
Cote d'Ivoire,CIV,2010,4.93
Cote d'Ivoire,CIV,2015,5.4
Cote d'Ivoire,CIV,2020,6.05
Croatia,HRV,2015,11.8
Croatia,HRV,2020,12.03
Cuba,CUB,1995,9.58
Cuba,CUB,2000,9.88
Cuba,CUB,2005,10.36
Cuba,CUB,2010,11.06
Cuba,CUB,2015,11.12
Cuba,CUB,2020,11.61
Cyprus,CYP,1995,10.28
Cyprus,CYP,2000,10.82
Cyprus,CYP,2005,10.19
Cyprus,CYP,2010,11.76
Cyprus,CYP,2015,12.1
Cyprus,CYP,2020,12.42
Czechia,CZE,1995,12.3
Czechia,CZE,2000,12.78
Czechia,CZE,2005,12.81
Czechia,CZE,2010,12.8
Czechia,CZE,2015,12.93
Czechia,CZE,2020,12.93
Democratic Republic of Congo,COD,1995,3.52
Democratic Republic of Congo,COD,2000,3.51
Democratic Republic of Congo,COD,2005,3.63
Democratic Republic of Congo,COD,2010,3.79
Democratic Republic of Congo,COD,2015,4.3
Democratic Republic of Congo,COD,2020,4.85
Denmark,DNK,1995,11.04
Denmark,DNK,2000,11.5
Denmark,DNK,2005,11.81
Denmark,DNK,2010,11.97
Denmark,DNK,2015,11.67
Denmark,DNK,2020,11.69
Dominican Republic,DOM,1995,6.58
Dominican Republic,DOM,2000,7.03
Dominican Republic,DOM,2005,7.54
Dominican Republic,DOM,2010,8.12
Dominican Republic,DOM,2015,8.48
Dominican Republic,DOM,2020,9.04
Ecuador,ECU,1995,7.32
Ecuador,ECU,2000,7.41
Ecuador,ECU,2005,7.7
Ecuador,ECU,2010,8.02
Ecuador,ECU,2015,8.54
Ecuador,ECU,2020,9.07
Egypt,EGY,1995,5.36
Egypt,EGY,2000,6.3
Egypt,EGY,2005,6.93
Egypt,EGY,2010,7.44
Egypt,EGY,2015,7.53
Egypt,EGY,2020,8.01
El Salvador,SLV,1995,5.8
El Salvador,SLV,2000,7.04
El Salvador,SLV,2005,8.08
El Salvador,SLV,2010,8.06
El Salvador,SLV,2015,7.67
El Salvador,SLV,2020,8.1
Estonia,EST,2015,12.33
Estonia,EST,2020,12.29
Eswatini,SWZ,1995,5.2
Eswatini,SWZ,2000,4.62
Eswatini,SWZ,2005,4.64
Eswatini,SWZ,2010,5.33
Eswatini,SWZ,2015,5.77
Eswatini,SWZ,2020,6.46
Europe,,1995,9.9699335
Europe,,2000,10.59524
Europe,,2005,11.250854
Europe,,2010,11.683311
Europe,,2015,11.717827
Europe,,2020,11.9022875
Fiji,FJI,1995,10.28
Fiji,FJI,2000,9.97
Fiji,FJI,2005,9.76
Fiji,FJI,2010,10.35
Fiji,FJI,2015,11.09
Fiji,FJI,2020,11.52
Finland,FIN,1995,9.31
Finland,FIN,2000,9.9
Finland,FIN,2005,10.42
Finland,FIN,2010,10.71
Finland,FIN,2015,10.94
Finland,FIN,2020,11.05
France,FRA,1995,9.36
France,FRA,2000,10.22
France,FRA,2005,10.86
France,FRA,2010,11.34
France,FRA,2015,11.6
France,FRA,2020,11.89
Gabon,GAB,2015,9.53
Gabon,GAB,2020,10.18
Gambia,GMB,1995,2.33
Gambia,GMB,2000,2.77
Gambia,GMB,2005,3.39
Gambia,GMB,2010,3.92
Gambia,GMB,2015,4.42
